rating,date,variation,verified_reviews,feedback,p_verified_reviews
5,2018-06-07,Black,Great product. Works well,1,great product works well
5,2018-06-06,Black,Absolutly love it !,1,absolutly love
5,2018-06-06,Black,Bought my first echo dot and loved it so I got this for work. Absolutely love it!,1,bought first echo dot loved got work absolutely love
4,2018-06-06,Black,works as promised,1,works promised
5,2018-06-06,Black,Works great with my existing smart home setup.,1,works great existing smart home setup
5,2018-06-06,Black,Perfect. Could not tell the difference from a new one.,1,perfect could tell difference new one
1,2018-06-06,White,I cant figure out how to use it.,0,cant figure use
3,2018-06-05,White,Good sometimes can’t hear well,1,good sometimes hear well
5,2018-06-05,Black,"I was a little apprehensive about buying a refurbished electronic product, but with Amazon's guarantee, thought I would try it. Glad I did, and will probably buy another refurb product form Amazon. I love the Alexa products and have several. This one sits on my desk. Has a small footprint, but has great sound and I use it daily. Works great.",1,little apprehensive buying refurbished electronic product amazon 's guarantee thought would try glad probably buy another refurb product form amazon love alexa products several one sits desk small footprint great sound use daily works great
3,2018-06-05,Black,Not bad bad speaker for sound,1,bad bad speaker sound
4,2018-06-05,Black,"This is a great device. We mainly use it to verbally add things to the shopping list, but occasionally use any number of the &#34;fun&#34; things you can program it to do, like go to Red Alert or make the TARDIS land (yes, we're a house of geeks... we even chose the wake-word to be &#34;Computer&#34; instead of &#34;Alexa&#34;. Now we just need Majel Barret's voice and I will be in geek heaven.) ;)It's not as easy to get my Premium Spotify to work properly with it, and still not sure how we can get multiple music accounts attached so we can listen to different music in different rooms, but so far it's still been worth it. I am often asking it the time, the weather, it even gives us a news briefing. We also use it as an intercom system which has been really awesome. Plus it's fun knowing the NSA is listening to everything.",1,great device mainly use verbally add things shopping list occasionally use number fun things program like go red alert make tardis land yes 're house geeks even chose wake word computer instead alexa need majel barret 's voice geek heaven 's easy get premium spotify work properly still sure get multiple music accounts attached listen different music different rooms far 's still worth often asking time weather even gives us news briefing also use intercom system really awesome plus 's fun knowing nsa listening everything
5,2018-06-05,Black,We all love her!,1,love
5,2018-06-05,White,I purchased this for my daughter and we all love this!!!! its amazing!! we love the games!,1,purchased daughter love amazing love games
2,2018-06-05,Black,It doesn’t always  work,0,always work
5,2018-06-05,White,Good as new! Perfectly packaged and I have had zero issues with the dot.,1,good new perfectly packaged zero issues dot
5,2018-06-04,White,Love it! Bought for my granddaughter who is 3 for her to play music and ask questions. She is entertained for hours! Good buy in my honest opinion!,1,love bought granddaughter play music ask questions entertained hours good buy honest opinion
5,2018-06-03,Black,No issues...works and looks great!!!,1,issues works looks great
5,2018-06-03,Black,This is a fun toy.  My daughter have me it.  It reads to me!,1,fun toy daughter reads
5,2018-06-03,Black,"Refurbish Echo Dot received as new condition, as new packaging, no complaints. Neat little gadget.(Drives my wife nuts!)",1,refurbish echo dot received new condition new packaging complaints neat little gadget drives wife nuts
3,2018-06-03,Black,"I received an Echo as a gift, loved it so much I decided to get the Dot for my bedroom. Both very easy to set up but a big difference in the sound quality. I would still buy it again.",1,received echo gift loved much decided get dot bedroom easy set big difference sound quality would still buy
4,2018-06-03,Black,Worked as advertised. Thanks,1,worked advertised thanks
1,2018-06-03,Black,All the new Amazon products I have are great everything I bought refurbished is complete garbage. I will never purchase Amazon refurbished again total dissatisfaction,0,new amazon products great everything bought refurbished complete garbage never purchase amazon refurbished total dissatisfaction
5,2018-06-02,Black,Works good.  Microphone is not as good as the better Echo products,1,works good microphone good better echo products
5,2018-06-02,Black,Took a little work to set up but I finally got it.  Sound quality not the best but for what I got it for it works great.  I check weather and ask a few cooking questions in the kitchen with it.  I do play the radio on it when I want some music but will probably upgrade to the Echo plus for better sound.,1,took little work set finally got sound quality best got works great check weather ask cooking questions kitchen play radio want music probably upgrade echo plus better sound
5,2018-06-01,Black,Love Alexa these are the best thing I have ever bought don't know how I ever lived with out these things amazing so happy with this product just wish it would use google to,1,love alexa best thing ever bought n't know ever lived things amazing happy product wish would use google
5,2018-06-01,White,I loved it it works great,1,loved works great
1,2018-05-31,White,Extremely low in volume,0,extremely low volume
4,2018-05-31,Black,"I had some trouble getting the program downloaded from my phone. I ended up using my computer. It is interesting that the answers come from Wikipedia. However, I will give Echo dot an &#34;A&#34; in the music playing department. I heard songs and music totally forgotten on the mainstream stations. Also amusing when Alexa responds, I don't know that. Why does she think the yards of cotton fabric refer to football playing???? If I had paid full price for this gadget I would have been sorely disappointed. Now it seems reasonable and a step above HAL.",1,trouble getting program downloaded phone ended using computer interesting answers come wikipedia however give echo dot music playing department heard songs music totally forgotten mainstream stations also amusing alexa responds n't know think yards cotton fabric refer football playing paid full price gadget would sorely disappointed seems reasonable step hal
1,2018-05-31,White,"Brought to replace one that I moved and doesn't have the same range as my previous (non refurbished) unit. It would seldom be able to find the Wi-Fi and couldn't connect. Got tired of hearing the message (&#34;trouble connecting...check the Alexa app...&#34;) and just unplugged it. I went through the troubleshooting and reconnected it several times, it's just not as strong.",0,brought replace one moved n't range previous non refurbished unit would seldom able find wi fi could n't connect got tired hearing message trouble connecting check alexa app unplugged went troubleshooting reconnected several times 's strong
1,2018-05-31,Black,"If you want to listen to music and have it come through several of the Echo/Dot units simultaneously, YOU MUST PAY A MONTHLY FEE. I thought this was Amazon, not Apple??!! I’ve paid for many of these so I could have one in each room, is that not enough of my money??!!??",0,want listen music come several echo dot units simultaneously must pay monthly fee thought amazon apple paid many could one room enough money
5,2018-05-31,Black,"Purchased as a gift,",1,purchased gift
5,2018-05-31,Black,Love it,1,love
4,2018-05-31,Black,"Overall good device. It was bought for a workout room, and has issues reaching a volume that can be heard over a standard row machine. It could use a much better speaker.",1,overall good device bought workout room issues reaching volume heard standard row machine could use much better speaker
5,2018-05-31,White,Works great and simple to set up. Alexa is way more accurate than I imagined so Im using it more than I thought. Wish alarms could be set a bit further out but thats my only complaint.No she's not listening when you don't say the wake word so if you're worried you can lose the conspiracy theories. The speaker is great too so don't hold off on getting one if you were turned off by gen 1 like me.,1,works great simple set alexa way accurate imagined im using thought wish alarms could set bit thats complaint 's listening n't say wake word 're worried lose conspiracy theories speaker great n't hold getting one turned gen like
5,2018-05-31,Black,The voice clarity has made my eavesdropping efforts so much easier - the government. :),1,voice clarity made eavesdropping efforts much easier government
5,2018-05-31,White,Worked perfect,1,worked perfect
4,2018-05-30,White,"Had a little trouble at the beginning until I replaced my old router and it works good except for current temperature and at times Alexa will be off by as much as 10 degrees!  Like when it was 91 degrees, Alexa would say it was 81 degrees.  Otherwise, everything works as expected and enjoy listening to music from Amazon and my Pandora stations and requesting my favorite song or recording artist.",1,little trouble beginning replaced old router works good except current temperature times alexa much degrees like degrees alexa would say degrees otherwise everything works expected enjoy listening music amazon pandora stations requesting favorite song recording artist
5,2018-05-30,Black,I bought three of these and all three have worked flawlessly. If they weren't labeled as refurbished I wouldn't have known,1,bought three three worked flawlessly n't labeled refurbished would n't known
5,2018-05-30,Black,"This device works perfectly and was a good price.  We love Alexa and are having great fun with her.  The music is great and we get the radio stations we need for our morning traffic report.  I didn’t think I would enjoy having AI in the house, but it is fun, educational and entertaining even for people who aren’t tech savvy.",1,device works perfectly good price love alexa great fun music great get radio stations need morning traffic report think would enjoy ai house fun educational entertaining even people tech savvy
1,2018-05-30,White,Eh. It’s works on and off. Half the time it does not respond when you say wake up name. Other then that works fine,0,eh works half time respond say wake name works fine
5,2018-05-30,White,Great little thing. Works better than siri.,1,great little thing works better siri
5,2018-05-29,Black,It’s amazing I love it,1,amazing love
5,2018-05-28,Black,Bought this for my son and he loves it.,1,bought son loves
4,2018-05-28,White,"I own the first and second generation Echo Dot.  I think I prefer the volume ring of the first gen better than the buttons on the second gen, but still more than does the job and great for the price I got it for.  I'd still definitely recommend.",1,first second generation echo dot think prefer volume ring first gen better buttons second gen still job great price got 'd still definitely recommend
5,2018-05-28,Black,Very fun to use and having morning briefing,1,fun use morning briefing
5,2018-05-28,Black,Arrived on time and works amazing!!!,1,arrived time works amazing
5,2018-05-28,White,"Just like new, set-up was quick & easy.",1,like new set quick easy
5,2018-05-28,Black,"like new, good refurbishing",1,like new good refurbishing
5,2018-05-28,Black,Love it,1,love
4,2018-05-27,Black,Love my echo dot!!!,1,love echo dot
5,2018-05-27,Black,I like that it knows my music type.The least is that it isn't wireless and the volume is not that high.,1,like knows music type least n't wireless volume high
5,2018-05-27,White,great product!,1,great product
3,2018-05-27,Black,"It works great, but the reason I'm leaving 3 stars is because it wont play unless it plugged in the whole time. Pretty irritating especially when there is no outlet available.",1,works great reason 'm leaving stars wont play unless plugged whole time pretty irritating especially outlet available
5,2018-05-27,White,Works great!,1,works great
5,2018-05-27,Black,I love it ita like having a personal assistant and computer and everything else in one.,1,love ita like personal assistant computer everything else one
5,2018-05-27,Black,"The problem I have with this item could just be my inexperience. I ordered the wrong thing, but then decided I’d set it up and use Alexa. I was trying to replace a small Bluetooth speaker in my bedroom. Thought I could learn as I go. I downloaded the app, but never could get the Echo to sync with my iPhone. I’ve decided to give this to one of my kids and they will probably enjoy it and use it as it is intended.",1,problem item could inexperience ordered wrong thing decided set use alexa trying replace small bluetooth speaker bedroom thought could learn go downloaded app never could get echo sync iphone decided give one kids probably enjoy use intended
5,2018-05-27,Black,Es perfecto.,1,es perfecto
5,2018-05-27,Black,Working good so far.,1,working good far
5,2018-05-27,Black,Working great and my daughter loves it!,1,working great daughter loves
5,2018-05-26,Black,Works great,1,works great
5,2018-05-26,White,I love it,1,love
1,2018-05-26,White,"I wanted a white dot for my white bathroom.  The top is black as shown, which I knew, but I did not realize the cord and plug were also black. I wanted a white cord and plug.",0,wanted white dot white bathroom top black shown knew realize cord plug also black wanted white cord plug
5,2018-05-25,White,WORKS GREAT,1,works great
5,2018-05-25,Black,Amazing!,1,amazing
5,2018-05-25,Black,Great product,1,great product
5,2018-05-25,White,Works perfectly,1,works perfectly
4,2018-05-25,Black,Perfect,1,perfect
1,2018-05-24,Black,I set up the Echo Dot and it worked for an hour and then died completely. DO NOT BUY refurbished!!!! I sent back for return the day after I received.,0,set echo dot worked hour died completely buy refurbished sent back return day received
1,2018-05-24,Black,This Echo Dot is horrible. The volume on my phone is louder than than this device. My boss has one at this is not the case,0,echo dot horrible volume phone louder device boss one case
4,2018-05-24,Black,Overall it works very well. Some connectivity issues but it was definitely worth the money!,1,overall works well connectivity issues definitely worth money
5,2018-05-24,Black,Have had no issues with this refurbished unit. It performed expected. I would buy another one if needed.,1,issues refurbished unit performed expected would buy another one needed
5,2018-05-24,White,Great for mom its inside an owlhead in her jacuzzi,1,great mom inside owlhead jacuzzi
5,2018-05-23,Black,Works great - I put this in my son's room and use the drop in option to get his attention when he is gaming or watching tv.,1,works great put son 's room use drop option get attention gaming watching tv
4,2018-05-23,White,It was perfect,1,perfect
5,2018-05-23,Black,It looked brand nrw!! I have nothing to.complain about!! I will defently be ordering more,1,looked brand nrw nothing complain defently ordering
2,2018-05-23,White,It's ok. The speaker is pretty terrible. Google home is a better product.,0,'s ok speaker pretty terrible google home better product
5,2018-05-23,Black,I love it!,1,love
5,2018-05-22,White,"I love this, answers all my stupid questions and tells me the weather for when I don’t get off the couch",1,love answers stupid questions tells weather get couch
1,2018-05-22,White,The first one quit working shortly after I got it. The next one becomes unresponsive to my voice at times and the only way to get it to work is through the app. I am not sure if it just this Dot or they are all this way.,0,first one quit working shortly got next one becomes unresponsive voice times way get work app sure dot way
5,2018-05-22,White,Bought this to go in my niece's room. You can't tell it's refurbished. It looks good and works like new.,1,bought go niece 's room ca n't tell 's refurbished looks good works like new
1,2018-05-21,White,Device was not working. Followed all instructions for Alexa echo dot and it did not come on. Very upsetting.,0,device working followed instructions alexa echo dot come upsetting
1,2018-05-21,Black,Sent it back due to crackling noise and turning itself off and on - but what can you expect with a refurbished item?,0,sent back due crackling noise turning expect refurbished item
5,2018-05-20,White,Best price we could find and it is so useful to have her around to answer questions. It is so handy to not have to find your phone. I also now have an intercom system.,1,best price could find useful around answer questions handy find phone also intercom system
5,2018-05-20,Black,I have never been more satisfied with a product. Perfect introduction to Alexa.,1,never satisfied product perfect introduction alexa
4,2018-05-20,Black,"Works well, but the speaker is not so grand. Getting another speaker to drop this into. In the future I would have just gone with the full size echo.",1,works well speaker grand getting another speaker drop future would gone full size echo
4,2018-05-20,Black,Love our echo! Thing the full size version sounds better though.,1,love echo thing full size version sounds better though
5,2018-05-20,Black,Works great!,1,works great
5,2018-05-19,Black,It has all I need for my life plans time date music,1,need life plans time date music
3,2018-05-19,Black,Seems to have trouble hearing me when I say the wake word despite being trained to my voice... Wonder if this has something to do with buying it refurbished. Our google home mini has no problems hearing us 😬 and is much louder.,1,seems trouble hearing say wake word despite trained voice wonder something buying refurbished google home mini problems hearing us much louder
5,2018-05-19,White,Love it!  Works perfectly!,1,love works perfectly
4,2018-05-19,White,I had a brand new echo Dot and thought that the refurbished would be just as good. It was quite different from my expectations. Refurbished unit did not even turn on and after a while I realized that the power adapter was faulty. There is no way for me to have Amazon send me a power adapter by itself according to the return options. I love Amazon and buy even my toilet paper through them but this was truly a let down.Update: Amazon contacted me and credited me enough to buy a new power adapter. This is why I shop on Amazon. I can always trust them to deliver on their products.,1,brand new echo dot thought refurbished would good quite different expectations refurbished unit even turn realized power adapter faulty way amazon send power adapter according return options love amazon buy even toilet paper truly let update amazon contacted credited enough buy new power adapter shop amazon always trust deliver products
5,2018-05-19,Black,I bought this for a family member as a gift. I called her to see how she likes it & she said she loves it‼️,1,bought family member gift called see likes said loves
4,2018-05-18,Black,"Not very loud but quality and ease of use is great. Sound is perfect for background music, would suggest 2-or more connected together if you’re trying to use for hosting a louder party",1,loud quality ease use great sound perfect background music would suggest connected together trying use hosting louder party
5,2018-05-18,Black,Looked Brand new works great. I love these echo dots and the refurbished ones are like new,1,looked brand new works great love echo dots refurbished ones like new
5,2018-05-18,Black,My 2nd one and I use them all the time.,1,nd one use time
5,2018-05-17,Black,"Is working like a  new one for now, l have another 3 alexa devices lm a fanatic",1,working like new one l another alexa devices lm fanatic
5,2018-05-17,Black,Echo is good.,1,echo good
5,2018-05-17,Black,Works great,1,works great
5,2018-05-17,Black,Great price to extend the range and super value to dot offers. Hooked up wireless speaker to use working outside.This dot made outdoor sound range possible without disturbing indoor light control possible,1,great price extend range super value dot offers hooked wireless speaker use working outside dot made outdoor sound range possible without disturbing indoor light control possible
5,2018-05-17,Black,"Amazingly fun. My daughter and I just asked questions on the first day. I have now set my daily alarm, weekend reminder, playlist, morning shows, random songs, daily bible verses, weather, and morning commute. It tells me which way to go dodging traffic. You have to get one. I don’t have it linked to my phone yet.",1,amazingly fun daughter asked questions first day set daily alarm weekend reminder playlist morning shows random songs daily bible verses weather morning commute tells way go dodging traffic get one linked phone yet
5,2018-05-17,White,Works perfect! There’s no difference at all between this refurb one and my new ones that I have in my house. I’ll be buying the refurbs from here on out,1,works perfect difference refurb one new ones house buying refurbs
5,2018-05-17,Black,Great product. Wakes me up every morning on time!,1,great product wakes every morning time
5,2018-05-16,Black,Like new.  No difference from new unused original.,1,like new difference new unused original
5,2018-05-16,Black,"I have no complaints. As far as I know, these are exactly like new, just a little cheaper. Great!",1,complaints far know exactly like new little cheaper great
5,2018-05-16,Black,Perfect condition!,1,perfect condition
5,2018-05-16,Black,Like new,1,like new
5,2018-05-16,White,It works just as well as the new version I got as a discount with my Echo speaker. I decided to purchase this version because Amazon states it has the same warranty.,1,works well new version got discount echo speaker decided purchase version amazon states warranty
5,2018-07-28,Charcoal Fabric ,Very useful,1,useful
5,2018-07-28,Charcoal Fabric ,Great Prime Day Buy!,1,great prime day buy
5,2018-07-28,Charcoal Fabric ,I love Alexa!,1,love alexa
5,2018-07-28,Charcoal Fabric ,Alexa is easy to operate and set up.  Have had it for about 10 days now and love it.,1,alexa easy operate set days love
5,2018-07-28,Heather Gray Fabric ,Great speaker with a lot of capabilities. Very fun to learn how to use it.,1,great speaker lot capabilities fun learn use
5,2018-07-31,Black  Spot,I used the product for my phone to look up the weather and watch videos,1,used product phone look weather watch videos
4,2018-07-31,White  Spot,"Don’t use it for much as I thought we would. Synced with Kasa-Cam and use it to check up on our baby in the crib a lot. Lyrics for music is cool, too. Other than that it’s used as a clock and standard dot’ish features.",1,use much thought would synced kasa cam use check baby crib lot lyrics music cool used clock standard dot ish features
5,2018-07-30,Black  Spot,Amazing so far. Just got it the other day.,1,amazing far got day
4,2018-07-30,Black  Spot,"I like that it's smaller, but it has never understood commands as easily as our first-gen original Echo did.",1,like 's smaller never understood commands easily first gen original echo
4,2018-07-30,Black  Spot,"Worthy successor to the echo dot and right at home in the bed room as an alarm clock.  However, for the price it should come with the stand",1,worthy successor echo dot right home bed room alarm clock however price come stand
5,2018-07-30,Black  Spot,"I love this device! All the functionality of an Amazon Echo with the added benefit of a video screen. It looks great on my nightstand as a clock (lots of faces to choose from) and displays weather, reminders, etc. I think it can do video calls too but I use FaceTime for that anyway. It’s a great shape and doesn’t take up a lot of room. I’m planning to get another one for my guest room. Awesome for a great price!",1,love device functionality amazon echo added benefit video screen looks great nightstand clock lots faces choose displays weather reminders etc think video calls use facetime anyway great shape take lot room planning get another one guest room awesome great price
5,2018-07-30,White  Spot,I love the Echo Spot. This bedside alarm clock size device can do what theEcho Show can do. I was concerned because I already had a large Echo in mybedroom that answered to “Alexa” like the other devices in my home. I wasconcerned about having both devices answering at the same time when I discoveredthat I had other name choices (not enough for me but just enough to avoid confusion).I named him “Echo.” Now if I could only choose a male voice. I loved that I could link it tomy security camera and my new doorbell. So many more features. Don’t forget to buy thestand/base. So many advantages to having that. Read the reviews. Highly recommend.,1,love echo spot bedside alarm clock size device theecho show concerned already large echo mybedroom answered alexa like devices home wasconcerned devices answering time discoveredthat name choices enough enough avoid confusion named echo could choose male voice loved could link tomy security camera new doorbell many features forget buy thestand base many advantages read reviews highly recommend
4,2018-07-30,Black  Spot,"I love this little Spot more than I thought I would. The sound is great for such a little thing...my music plays nice and loud and clear. The video is terrific...I was watching some Prime shows just for the heck of it, and I was really impressed. Immediately convinced my mom to buy my sister one for her birthday!Only thing that kept me from giving it 5 stars...I really wish it was cordless. I love having it in my kitchen but trying to find a place to plug it in is a pain. And it won’t connect to my Bluetooth speaker while playing Amazon Prime Music for some reason, which is a drag when I want to hear it in the dining room during dinner. Of course, if it was CORDLESS I could just bring it with me...otherwise, I absolutely love it and will probably buy another one!",1,love little spot thought would sound great little thing music plays nice loud clear video terrific watching prime shows heck really impressed immediately convinced mom buy sister one birthday thing kept giving stars really wish cordless love kitchen trying find place plug pain connect bluetooth speaker playing amazon prime music reason drag want hear dining room dinner course cordless could bring otherwise absolutely love probably buy another one
5,2018-07-30,Black  Spot,"I bought on Prime Day and so glad I did. It’s easy to use and lots of customization options. I know some reviews said that the screen was small and hard to read, but I disagree.",1,bought prime day glad easy use lots customization options know reviews said screen small hard read disagree
2,2018-07-30,Black  Spot,Honestly I like it but at the same time I don’t I could have bought a smaller one that did the exact same thing for less then half I bought it for the video chat and I have never really used it,0,honestly like time could bought smaller one exact thing less half bought video chat never really used
4,2018-07-30,Black  Spot,"Overall it's great and I like that I can see lyrics and the time and  date. However, sometimes it freezes and doesn't respond properly--no error message about lack of connectivity--it just stops. Resetting resolves the problem.",1,overall 's great like see lyrics time date however sometimes freezes n't respond properly error message lack connectivity stops resetting resolves problem
5,2018-07-30,Black  Spot,I love all that you can do with the Echo Spot!,1,love echo spot
5,2018-07-30,White  Spot,The thing I like most about my Echo Spot is the voice command feature.  You can ask anything and get an answer or play any music without getting up to adjust the Echo. Easy to use,1,thing like echo spot voice command feature ask anything get answer play music without getting adjust echo easy use
5,2018-07-30,White  Spot,"Love it!! Perfect for an alarm clock replacement, plus so much more!!",1,love perfect alarm clock replacement plus much
5,2018-07-30,Black  Spot,"I love the Echo Spot as it is great for checking the weather along with many other things, but most important it works great as your alarm clock in your bedroom!",1,love echo spot great checking weather along many things important works great alarm clock bedroom
5,2018-07-30,White  Spot,We absolutely love this product!!! Wish we would have bought this instead of the dots!!!,1,absolutely love product wish would bought instead dots
5,2018-07-30,White  Spot,"We like that we are able to get weather and other information quickly.  You can even hear music played. The speaker is clear.  We are enjoying it.  What we did not like because it was creepy was that the day before my husband played a particular song on our stereo for me.  The next day, I asked the Echo to play music from the same artist not specifying any particular song.  The Echo played the exact song by that same artist that my husband played on our stereo the day before.  It was a little disconcerting.",1,like able get weather information quickly even hear music played speaker clear enjoying like creepy day husband played particular song stereo next day asked echo play music artist specifying particular song echo played exact song artist husband played stereo day little disconcerting
4,2018-07-30,White  Spot,"I like echo spot. I bought it to use as an alarm clock. One negative that i didnt really think about, when you wake up in the morning and are somewhat groggy, its hard to tell alexa to turn off the alarm, or hard to remember commands to snooze for a few minutes. In this case a clock with buttons seems to work better",1,like echo spot bought use alarm clock one negative didnt really think wake morning somewhat groggy hard tell alexa turn alarm hard remember commands snooze minutes case clock buttons seems work better
5,2018-07-30,White  Spot,This is our second Echo Spot - to go with out two Echo Dots - love the look and how Alexia responds.,1,second echo spot go two echo dots love look alexia responds
5,2018-07-30,Black  Spot,Love my Echo Spot!,1,love echo spot
1,2018-07-30,Black  Spot,It is very slow compared to the echo,0,slow compared echo
5,2018-07-30,White  Spot,I love the way it is designed. And you have choices for the face.  I use it for my bed side.  I drop in; on my echo in another part of the house frequently without yelling.,1,love way designed choices face use bed side drop echo another part house frequently without yelling
4,2018-07-30,Black  Spot,"Terrific sound for a small device, and nice form factor for the nightstand. I like the convenience of seeing the time and temperature rather than asking Alexa. Not using video much, but it would be nice if the device had a square/rectangular screen.",1,terrific sound small device nice form factor nightstand like convenience seeing time temperature rather asking alexa using video much would nice device square rectangular screen
5,2018-07-30,Black  Spot,New to Alexa. Like this spot a lot.,1,new alexa like spot lot
4,2018-07-30,Black  Spot,"It's not perfect, but I really like this little gizmo. i bought it primarily for 2 purposes. First, so I could set wake-up alarms by individual days, and set the wake-up music individually by the day. Second, I wanted to control a bedroom light by voice, so I could shut it off as I was falling asleep, without having to get out of bed to turn a switch. The Echo Spot, together with a smart plug,has been able to accomplish that. A bonus has been getting Alexa to play music from my Amazon Prime playlists.What's not so great is that sometimes Alexa has a really hard time understanding instructions, and repeating and altering the way you say things can get pretty frustrating. Hopefully the AI gets better in the future, along with added functions.",1,'s perfect really like little gizmo bought primarily purposes first could set wake alarms individual days set wake music individually day second wanted control bedroom light voice could shut falling asleep without get bed turn switch echo spot together smart plug able accomplish bonus getting alexa play music amazon prime playlists 's great sometimes alexa really hard time understanding instructions repeating altering way say things get pretty frustrating hopefully ai gets better future along added functions
5,2018-07-30,White  Spot,I love it.  It is so easy to use,1,love easy use
5,2018-07-30,Black  Spot,Put this on my night stand to use as a clock and alarm. Works great. Every morning I get the weather and news when I get up. Also reminds me of all the appointments my wife and I have.,1,put night stand use clock alarm works great every morning get weather news get also reminds appointments wife
5,2018-07-30,Black  Spot,Love it,1,love
3,2018-07-30,White  Spot,"Part of it is my fault, I thought it could be wireless.  Though for the price, I still feel like it should be. Also the sound quality and volume could be better. I prefer the tap. Unless you really want to have the call options but today most of us have phones, computers or iPads. Just not worth it.",1,part fault thought could wireless though price still feel like also sound quality volume could better prefer tap unless really want call options today us phones computers ipads worth
5,2018-07-30,Black  Spot,Very easy to use and much quicker then looking up everything on the cell phone.,1,easy use much quicker looking everything cell phone
5,2018-07-30,Black  Spot,I love my new Echo Spot!,1,love new echo spot
5,2018-07-30,Black  Spot,"I love this clock, I just have to tell it to set my alarm.  No more fussing with buttons!",1,love clock tell set alarm fussing buttons
5,2018-07-30,Black  Spot,Couldn't be more pleased. Amazon hit this one out of the park. Looks great and runs great. Love it!,1,could n't pleased amazon hit one park looks great runs great love
5,2018-07-30,White  Spot,Responds easily and like the ability to do at night.,1,responds easily like ability night
5,2018-07-30,Black  Spot,Easy setup  Love it!,1,easy setup love
5,2018-07-30,White  Spot,"Simply amazing what a awsome device. It never ceases to amaze me, wake up to big bang music, go to sleep softly falling rain. Drop in on the kids and keep in touch. I have just scratched the surface as to what this devise can do.",1,simply amazing awsome device never ceases amaze wake big bang music go sleep softly falling rain drop kids keep touch scratched surface devise
4,2018-07-30,Black  Spot,"I was skeptical at first but &#34;it&#34; grows on you.  It looks good, so far.  I did, however, turn off the camera.",1,skeptical first grows looks good far however turn camera
4,2018-07-30,Black  Spot,Sound quality is disappointing.,1,sound quality disappointing
5,2018-07-30,White  Spot,I love it!  I especially love that it is so small and does so much.  Got rid of my old CD/Alarm clock radio.  Much more room on nightstand.,1,love especially love small much got rid old cd alarm clock radio much room nightstand
5,2018-07-30,White  Spot,Great sound and video plus all the great stuff that Alexa has to offer even turns my lights on and off,1,great sound video plus great stuff alexa offer even turns lights
4,2018-07-30,Black  Spot,The ease to use product,1,ease use product
4,2018-07-30,Black  Spot,"So far pretty happy with the Spot. For me it really is a glorified alarm clock/radio and I know I could have something more cost effective but eh, I like it. I had read the reviews about the scrolling issues and saw the one about how to make that stop and it did. So far so good.",1,far pretty happy spot really glorified alarm clock radio know could something cost effective eh like read reviews scrolling issues saw one make stop far good
5,2018-07-30,Black  Spot,"I am just entering the &#34;smart&#34; technology world. I haven't figured it all out yet, but so far it's pretty cool!",1,entering smart technology world n't figured yet far 's pretty cool
5,2018-07-30,Black  Spot,"It was smaller than I had anticipated, and when I say that I very much mean it. However, it still works very well! Quality sound, easily programmed, easy to work with, but Alexa is not anywhere as good as other voice programs.",1,smaller anticipated say much mean however still works well quality sound easily programmed easy work alexa anywhere good voice programs
5,2018-07-30,White  Spot,Love my Echo Spot!,1,love echo spot
5,2018-07-30,Black  Spot,"Great deal, great product!",1,great deal great product
5,2018-07-30,Black  Spot,Perfect,1,perfect
5,2018-07-30,Black  Spot,"i had a couple of echo dots previously - bought these _SPECIFICALLY_ for the Ring doorbell video / cloud cam display / interface capabilities. WAS NOT DISAPPOINTED. Love the fact that I can ask to see front yard / back yard / front door, etc.the video chat with the other rooms is also quite cool.BONUS: “Alexa show me Ant Man trailer, etc”i know this can all be done on laptop/desktop, but it’s cool now having an ‘appliance’ that’s always just there, and it doesn’t interrupt what i’m doing.",1,couple echo dots previously bought specifically ring doorbell video cloud cam display interface capabilities disappointed love fact ask see front yard back yard front door etc video chat rooms also quite cool bonus alexa show ant man trailer etc know done laptop desktop cool appliance always interrupt
5,2018-07-30,White  Spot,"Bought this for my bedroom and the Show for my living room. Love them both. The Spot is perfect for bedside and has an impressive design. Shows lyrics, photos , etc. I paired it with a Smart Plug for the bedroom lamps &#34;Alexa, turn off lights&#34;, love it.",1,bought bedroom show living room love spot perfect bedside impressive design shows lyrics photos etc paired smart plug bedroom lamps alexa turn lights love
5,2018-07-30,Black  Spot,Love that is can do so much! It sits on my nightstand! Only improvements I would make is having battery back up capability and the screen could be a tad bigger. But overall I’m happy I have it! Would recommend!,1,love much sits nightstand improvements would make battery back capability screen could tad bigger overall happy would recommend
4,2018-07-30,Black  Spot,It was a gift and the recipient love love loves it 😍💋💋💋💋❤!,1,gift recipient love love loves
5,2018-07-30,Black  Spot,"Cool little piece of tech...we’re still learning some of its functions and possibilities, but I can see some potential.  Even my ‘technically challenged’ wife already figured out how to video call our daughter.",1,cool little piece tech still learning functions possibilities see potential even technically challenged wife already figured video call daughter
5,2018-07-30,Black  Spot,"I have been extremely impressed with the device as a whole. Completely changed sleep schedule and replaced my alarm clock. It is the perfect bedside counter device - alarm, wake up music, weather, top news stories, etc. Perfect device for what I wanted and does so much more than I expected it to do, calling feature is also a huge selling point. This is a must own item. Probably will grab more Echos in the future.",1,extremely impressed device whole completely changed sleep schedule replaced alarm clock perfect bedside counter device alarm wake music weather top news stories etc perfect device wanted much expected calling feature also huge selling point must item probably grab echos future
